epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
189,14207.8,1.36869,0.97921,1.33143,0.89697,0.82165,0.8949,0.56989,1.24371,0.74964,1.3327,0.00154,0.00154,0.00154
190,14286.9,1.38184,0.9761,1.32488,0.89826,0.82177,0.89422,0.57017,1.24381,0.74923,1.3325,0.001495,0.001495,0.001495
191,14365.2,1.36407,0.96636,1.32561,0.89588,0.823,0.8942,0.57052,1.24392,0.74847,1.33229,0.00145,0.00145,0.00145
192,14444.1,1.37582,0.97486,1.32706,0.89617,0.82411,0.89383,0.57052,1.24403,0.74794,1.33219,0.001405,0.001405,0.001405
193,14522.5,1.36614,0.9677,1.32648,0.89788,0.82351,0.89386,0.57046,1.24278,0.74811,1.33132,0.00136,0.00136,0.00136
194,14601.5,1.36917,0.96336,1.32192,0.89716,0.82363,0.89462,0.57094,1.24222,0.74805,1.3307,0.001315,0.001315,0.001315
195,14681.1,1.37683,0.97505,1.32795,0.89231,0.82743,0.89526,0.57119,1.24237,0.74772,1.33035,0.00127,0.00127,0.00127
196,14759.5,1.36558,0.9587,1.32445,0.89192,0.82801,0.89563,0.57144,1.24136,0.74753,1.3301,0.001225,0.001225,0.001225
197,14837.5,1.3633,0.96265,1.32469,0.89152,0.82815,0.89618,0.57188,1.24143,0.74689,1.33012,0.00118,0.00118,0.00118
198,14916.9,1.36789,0.9732,1.3255,0.89593,0.82684,0.89598,0.57168,1.24147,0.74644,1.33008,0.001135,0.001135,0.001135
199,14994.2,1.36244,0.9641,1.32292,0.89362,0.82588,0.89514,0.57192,1.24134,0.74527,1.33013,0.00109,0.00109,0.00109
200,15073.4,1.37259,0.96399,1.31825,0.89067,0.82869,0.89598,0.57227,1.2404,0.74487,1.3295,0.001045,0.001045,0.001045
