epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3154.29,1.57658,1.31001,1.50775,0.86669,0.75237,0.83404,0.49793,1.37971,1.01651,1.47595,0.00811,0.00811,0.00811
44,3225.96,1.56994,1.30018,1.50096,0.85531,0.7673,0.84002,0.49725,1.37791,1.00591,1.47397,0.008065,0.008065,0.008065
45,3297.26,1.56249,1.29135,1.49577,0.86539,0.76091,0.83901,0.50112,1.37052,0.99706,1.46312,0.00802,0.00802,0.00802
46,3370.48,1.5625,1.27705,1.48489,0.86992,0.75362,0.83874,0.5033,1.37663,0.99811,1.46907,0.007975,0.007975,0.007975
47,3441.98,1.56153,1.27146,1.48152,0.86798,0.76673,0.84598,0.50224,1.37082,0.9806,1.46685,0.00793,0.00793,0.00793
48,3513.5,1.54679,1.26606,1.48471,0.85295,0.76884,0.83832,0.50014,1.37039,0.98418,1.46073,0.007885,0.007885,0.007885
49,3584.86,1.56355,1.28778,1.48488,0.87468,0.76076,0.84436,0.5016,1.36939,0.98369,1.45884,0.00784,0.00784,0.00784
50,3656.31,1.55692,1.27183,1.4839,0.87137,0.75892,0.84169,0.50958,1.36503,0.96544,1.4612,0.007795,0.007795,0.007795
51,3727.71,1.54577,1.26111,1.46938,0.8559,0.7638,0.84196,0.50802,1.35194,0.96528,1.4485,0.00775,0.00775,0.00775
52,3798.93,1.52825,1.23386,1.46683,0.86967,0.77049,0.8499,0.5113,1.3576,0.96075,1.44833,0.007705,0.007705,0.007705
53,3871.27,1.54121,1.25348,1.4682,0.86482,0.77088,0.84995,0.50878,1.35654,0.96034,1.44876,0.00766,0.00766,0.00766
54,3942.78,1.53312,1.23535,1.46053,0.85857,0.77508,0.84694,0.51032,1.35291,0.95355,1.44748,0.007615,0.007615,0.007615
55,4014.31,1.54655,1.24372,1.46697,0.85332,0.76847,0.84645,0.51044,1.35043,0.96437,1.44754,0.00757,0.00757,0.00757
56,4085.92,1.54509,1.24984,1.46032,0.85538,0.78194,0.85336,0.5154,1.34399,0.9374,1.43925,0.007525,0.007525,0.007525
57,4157.23,1.52731,1.22906,1.46512,0.85531,0.77943,0.85176,0.51549,1.34365,0.93823,1.43732,0.00748,0.00748,0.00748
58,4228.79,1.52921,1.21958,1.45566,0.87428,0.76584,0.84642,0.51569,1.34456,0.93846,1.43851,0.007435,0.007435,0.007435
59,4299.08,1.5199,1.21778,1.45223,0.86905,0.77163,0.85247,0.51682,1.33957,0.9382,1.43828,0.00739,0.00739,0.00739
60,4368.94,1.52462,1.22336,1.45645,0.86751,0.77369,0.84897,0.51469,1.34457,0.93847,1.43397,0.007345,0.007345,0.007345
61,4439.37,1.51285,1.20325,1.44281,0.86729,0.77593,0.85507,0.52174,1.33764,0.92516,1.42955,0.0073,0.0073,0.0073
62,4509.72,1.51627,1.20819,1.4486,0.85739,0.78799,0.8545,0.52213,1.33177,0.91996,1.42409,0.007255,0.007255,0.007255
63,4579.91,1.5068,1.19177,1.44054,0.86983,0.78143,0.86109,0.52072,1.33856,0.91709,1.42798,0.00721,0.00721,0.00721
64,4650.36,1.51705,1.20427,1.44384,0.87072,0.77939,0.85743,0.52164,1.33192,0.91731,1.42869,0.007165,0.007165,0.007165
65,4720.82,1.50606,1.18951,1.4329,0.87923,0.77821,0.8586,0.52631,1.32337,0.90787,1.42003,0.00712,0.00712,0.00712
66,4791.21,1.50657,1.20008,1.43805,0.87874,0.78331,0.86116,0.52415,1.32929,0.90388,1.42031,0.007075,0.007075,0.007075
67,4861.6,1.50789,1.18865,1.4293,0.87492,0.78099,0.85819,0.52465,1.33146,0.90362,1.41648,0.00703,0.00703,0.00703
68,4932.01,1.50731,1.17686,1.42968,0.86731,0.78539,0.86076,0.52812,1.31784,0.90262,1.40923,0.006985,0.006985,0.006985
69,5002.36,1.50089,1.16926,1.43115,0.86368,0.78972,0.86032,0.52614,1.32219,0.89415,1.4128,0.00694,0.00694,0.00694
70,5072.34,1.49356,1.17398,1.42805,0.87543,0.7813,0.86207,0.52913,1.32778,0.89892,1.4174,0.006895,0.006895,0.006895
71,5142.41,1.50006,1.1847,1.43594,0.86735,0.78982,0.86236,0.52696,1.32613,0.90278,1.41589,0.00685,0.00685,0.00685
72,5212.22,1.49962,1.17676,1.43764,0.87094,0.7922,0.86307,0.5285,1.32324,0.8878,1.41132,0.006805,0.006805,0.006805
73,5282.28,1.50163,1.18716,1.43711,0.88422,0.7863,0.86616,0.52986,1.32056,0.89018,1.4061,0.00676,0.00676,0.00676
74,5352.7,1.49663,1.16206,1.42687,0.88635,0.78496,0.86596,0.53493,1.31369,0.88402,1.40314,0.006715,0.006715,0.006715
75,5422.84,1.48964,1.15758,1.42314,0.8783,0.78856,0.86727,0.53364,1.31233,0.88084,1.40821,0.00667,0.00667,0.00667
76,5493.22,1.49458,1.16647,1.42364,0.87764,0.79227,0.87091,0.53454,1.31458,0.87678,1.40163,0.006625,0.006625,0.006625
77,5563.4,1.48383,1.1496,1.42086,0.87503,0.79557,0.86866,0.53432,1.3098,0.87058,1.40127,0.00658,0.00658,0.00658
78,5633.89,1.48412,1.15593,1.41825,0.87907,0.78778,0.86657,0.53682,1.30992,0.87593,1.40484,0.006535,0.006535,0.006535
79,5704.34,1.48776,1.15212,1.42266,0.86826,0.80296,0.86978,0.53709,1.30679,0.86748,1.39775,0.00649,0.00649,0.00649
80,5774.73,1.47996,1.14473,1.41243,0.87112,0.79731,0.8706,0.53773,1.30769,0.87122,1.39889,0.006445,0.006445,0.006445
81,5845.27,1.48212,1.14753,1.41741,0.88464,0.79441,0.87087,0.53814,1.31326,0.87099,1.39997,0.0064,0.0064,0.0064
82,5915.61,1.47086,1.1358,1.40652,0.88137,0.79228,0.86942,0.5366,1.30749,0.86546,1.39568,0.006355,0.006355,0.006355
83,5985.61,1.46806,1.13155,1.40307,0.88358,0.7941,0.8741,0.53911,1.30658,0.85635,1.39511,0.00631,0.00631,0.00631
84,6055.81,1.47619,1.1374,1.41101,0.87873,0.79374,0.86942,0.54121,1.30168,0.85908,1.39582,0.006265,0.006265,0.006265
85,6126.49,1.47695,1.12721,1.40733,0.88187,0.79657,0.87314,0.53862,1.3055,0.85758,1.39408,0.00622,0.00622,0.00622
86,6196.94,1.4705,1.12818,1.40185,0.89233,0.79289,0.87265,0.53984,1.29973,0.85463,1.38973,0.006175,0.006175,0.006175
87,6267.39,1.47453,1.125,1.40328,0.89364,0.79172,0.87348,0.54154,1.29987,0.85112,1.38986,0.00613,0.00613,0.00613
88,6337.89,1.46793,1.1203,1.40073,0.88577,0.78901,0.87151,0.54064,1.29427,0.85517,1.38687,0.006085,0.006085,0.006085
89,6408.42,1.47883,1.1375,1.40768,0.88216,0.79413,0.87449,0.54225,1.30095,0.84724,1.39044,0.00604,0.00604,0.00604
90,6478.83,1.46307,1.11303,1.40434,0.87874,0.80211,0.87449,0.54369,1.29817,0.85014,1.38637,0.005995,0.005995,0.005995
91,6549.51,1.47577,1.13193,1.40231,0.88017,0.79812,0.87366,0.54279,1.29532,0.84588,1.38646,0.00595,0.00595,0.00595
92,6619.96,1.45798,1.1097,1.39294,0.88043,0.80306,0.87612,0.54601,1.29118,0.83794,1.38499,0.005905,0.005905,0.005905
93,6690.57,1.46092,1.10518,1.39573,0.88334,0.79819,0.873,0.5447,1.29403,0.83872,1.38556,0.00586,0.00586,0.00586
94,6760.47,1.44978,1.10381,1.39426,0.88774,0.79365,0.87246,0.54362,1.29235,0.84286,1.38312,0.005815,0.005815,0.005815
95,6831.04,1.45866,1.10452,1.39568,0.88532,0.80392,0.87609,0.54562,1.2911,0.83452,1.38204,0.00577,0.00577,0.00577
96,6901.19,1.46464,1.11162,1.39757,0.88094,0.80212,0.87497,0.54372,1.29661,0.84356,1.38679,0.005725,0.005725,0.005725
97,6971.64,1.45837,1.10366,1.38413,0.87996,0.80477,0.8756,0.54592,1.29146,0.83665,1.37962,0.00568,0.00568,0.00568
98,7042.24,1.45468,1.11009,1.39531,0.87627,0.80439,0.87584,0.54536,1.28874,0.83428,1.37811,0.005635,0.005635,0.005635
99,7112.4,1.4578,1.10702,1.38982,0.87954,0.7984,0.87631,0.54663,1.28847,0.8318,1.37516,0.00559,0.00559,0.00559
100,7182.92,1.45971,1.10162,1.39216,0.88074,0.80822,0.88026,0.55013,1.29105,0.82632,1.37831,0.005545,0.005545,0.005545
101,7253.29,1.45262,1.10162,1.39253,0.88608,0.80328,0.87887,0.55052,1.28359,0.83175,1.37679,0.0055,0.0055,0.0055
102,7323.2,1.44377,1.08766,1.38416,0.88277,0.80377,0.87727,0.54896,1.28074,0.8253,1.37107,0.005455,0.005455,0.005455
103,7393.31,1.45937,1.09677,1.38798,0.87909,0.80603,0.88237,0.55015,1.28372,0.82395,1.37385,0.00541,0.00541,0.00541
104,7463.51,1.44705,1.08737,1.38588,0.88898,0.80295,0.881,0.55175,1.28042,0.82031,1.37273,0.005365,0.005365,0.005365
105,7533.65,1.44616,1.08788,1.3874,0.87619,0.81382,0.88106,0.55207,1.2812,0.81819,1.37286,0.00532,0.00532,0.00532
106,7603.78,1.44545,1.08516,1.38301,0.8856,0.80694,0.88232,0.55372,1.27877,0.81769,1.36988,0.005275,0.005275,0.005275
